name,stars,rating_no,price
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 1,000 mg, 60 Veggie Capsules","4.8/5 - 272,222 Reviews","272,222","SG$4.09,SG$8.09,49% Off"
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 500 mg, 240 Veggie Capsules","4.8/5 - 25,040 Reviews","25,040","SG$15.06,SG$18.83,20% Off"
"ChildLife Essentials, Essentials, Liquid Vitamin C, Natural Orange, 4 fl oz (118.5 ml)","4.9/5 - 38,678 Reviews","38,678","SG$10.02,SG$11.79,15% Off"
"California Gold Nutrition, Immune 4, Immune System Support, 60 Veggie Capsules","4.7/5 - 155,003 Reviews","155,003",SG$11.08
"NOW Foods, C-1000, 250 Tablets","4.8/5 - 24,426 Reviews","24,426",SG$30.57
"21st Century, Vitamin C, 1,000 mg, 60 Tablets","4.7/5 - 19,481 Reviews","19,481",SG$5.75
"NOW Foods, C-1000, 100 Tablets","4.8/5 - 24,426 Reviews","24,426",SG$14.17
"Dr. Mercola, Liposomal Vitamin C, 500 mg, 180 Capsules","4.8/5 - 15,802 Reviews","15,802",SG$70.18
"California Gold Nutrition, Gold C Powder, Vitamin C, 1,000 mg, 8.81 oz (250 g)","4.7/5 - 14,521 Reviews","14,521","SG$11.37,SG$14.21,20% Off"
"California Gold Nutrition, KIDS Gold C, Liquid Vitamin C, Tart Orange Flavor, 4 fl oz (118 ml)","4.9/5 - 23,033 Reviews","23,033",SG$11.81
"NaturesPlus, Source of Life, Animal Parade, Vitamin C,  Orange Juice, 90 Animal-Shaped Tablets","4.9/5 - 16,788 Reviews","16,788",SG$14.19
"Lake Avenue Nutrition, Vitamin C, Quali-C, 1,000 mg, 60 Veggie Capsules","4.7/5 - 18,522 Reviews","18,522",SG$10.08
"California Gold Nutrition, Buffered Gold C, Non-Acidic Vitamin C Powder, Sodium Ascorbate, 8.40 oz (238 g)","4.8/5 - 15,088 Reviews","15,088","SG$11.28,SG$20.14,44% Off"
"NutriBiotic, Immunity, Vitamin C + D3 & Zinc, 100 Capsules","4.9/5 - 8,085 Reviews","8,085",SG$13.62
"Dr. Mercola, Liposomal Vitamin C, 500 mg, 60 Capsules","4.8/5 - 15,802 Reviews","15,802",SG$31.71
"Solaray, Liposomal Vitamin C, 500 mg, 100 VegCaps","4.7/5 - 3,965 Reviews","3,965",SG$29.69
"Natural Factors, Vitamin C, Time Release, 1,000 mg, 180 Tablets","4.7/5 - 10,694 Reviews","10,694",SG$20.48
"Life Extension, Glutathione, Cysteine & C, 100 Capsules","4.5/5 - 3,372 Reviews","3,372",SG$24.14
"Aurora Nutrascience, Mega-Pack+ Glutathione, 750 mg, 32 Packs, 0.5 fl oz (15 ml) Each","4.6/5 - 1,198 Reviews","1,198",SG$95.80
"Aurora Nutrascience, Mega-Liposomal Vitamin C, Organic Fruit, 3,000 mg, 16 fl oz (480 ml)","4.7/5 - 3,790 Reviews","3,790",SG$66.13
"Swanson, Vitamin C, Orange, 60 Gummies",4.8/5 - 204 Reviews,204,SG$6.20
"Doctor's Best, Pure Vitamin C Powder with Q-C, 8.8 oz (250 g)","4.6/5 - 4,664 Reviews","4,664",SG$29.00
"Solaray, Timed Release Vitamin C with Rose Hip & Acerola, 1,000 mg, 100 Tablets","4.7/5 - 13,362 Reviews","13,362",SG$14.51
"Codeage, Vitamins, Liposomal Vitamin C+, Vitamin C, Quercetin, Rosehips, Zinc, 180 Capsules","4.8/5 - 2,837 Reviews","2,837",SG$47.30
"L'il Critters, Immune C Plus Zinc & Vitamin D, Assorted Flavors, 60 Gummies","4.8/5 - 14,942 Reviews","14,942",SG$11.09
"California Gold Nutrition, Buffered Gold C, GOLD Standard Sodium Ascorbate (Vitamin C), 750 mg, 60 Veggie Capsules","4.8/5 - 35,925 Reviews","35,925",SG$8.93
"21st Century, Vitamin C, 500 mg, 250 Tablets","4.8/5 - 22,855 Reviews","22,855",SG$12.02
"21st Century, Vitamin C, 500 mg, 110 Tablets","4.8/5 - 22,855 Reviews","22,855",SG$6.71
"NaturesPlus, Animal Parade, Vitamin C Children's Chewable Supplement, Orange Juice, Sugar Free, 90 Animal-Shaped Tablets","4.9/5 - 13,516 Reviews","13,516",SG$17.31
"NOW Foods, C-1000 with Bioflavonoids, 100 Veg Capsules","4.8/5 - 14,983 Reviews","14,983",SG$14.05
"Nature's Bounty, Ester-C, Maximum Strength, 1,000 mg, 120 Vegetarian Coated Tablets","4.9/5 - 9,298 Reviews","9,298",SG$31.34
"California Gold Nutrition, Buffered Gold C, GOLD Standard Sodium Ascorbate (Vitamin C), 750 mg, 240 Veggie Capsules","4.8/5 - 35,925 Reviews","35,925",SG$26.94
"Thorne, Vitamin C with Flavonoids, 90 Capsules","4.8/5 - 2,649 Reviews","2,649",SG$24.97
"Doctor's Best, Vitamin C with Q-C, 1,000 mg, 360 Veggie Caps","4.7/5 - 5,957 Reviews","5,957",SG$64.67
"Solaray, Timed Release Vitamin C with Rose Hips & Acerola, 1,000 mg, 250 Tablets","4.7/5 - 13,362 Reviews","13,362",SG$30.88
"Aurora Nutrascience, Mega-Pack+ Vitamin C, 3,000 mg, 32 Packs, 0.5 fl oz (15 ml) Each",4.7/5 - 742 Reviews,742,SG$70.60
"NOW Foods, Vitamin C Crystals, 8 oz (227 g)","4.6/5 - 12,328 Reviews","12,328",SG$15.37
"Natural Factors, Big Friends, Chewable Vitamin C, Tangy Orange, 250 mg, 90 Chewable Tablets","4.8/5 - 7,592 Reviews","7,592",SG$13.54
"Aurora Nutrascience, Micro-Pack+ Vitamin C, 1,000 mg , 30 Packets, 0.17 fl oz (5 ml) Each",4.5/5 - 523 Reviews,523,SG$49.26
"L'il Critters, Immune C Plus Zinc & Vitamin D, 190 Gummies","4.8/5 - 14,942 Reviews","14,942",SG$28.38
"California Gold Nutrition, Liposomal Vitamin C, 1,000 mg, 30 Packets, 0.2 fl oz (6 ml) Each","4.4/5 - 2,703 Reviews","2,703",SG$68.13
"YumEarth, Organic Vitamin C Drops, Citrus Grove, 3.3 oz (93.5 g)","4.8/5 - 11,745 Reviews","11,745",SG$5.98
"Doctor's Best, Vitamin C with Q-C, 1,000 mg, 120 Veggie Caps","4.7/5 - 5,957 Reviews","5,957",SG$27.67
"NOW Foods, C-1000 with Bioflavonoids, 250 Veg Capsules","4.8/5 - 14,983 Reviews","14,983",SG$30.30
"Garden of Life, Vitamin Code, RAW Vitamin C, 120 Vegan Capsules","4.8/5 - 5,889 Reviews","5,889",SG$44.40
"21st Century, Vitamin C with Rose Hips, 1,000 mg, 110 Tablets","4.8/5 - 3,603 Reviews","3,603",SG$13.38
"Garden of Life, Vitamin Code, RAW Vitamin C, 60 Vegan Capsules","4.8/5 - 5,889 Reviews","5,889",SG$25.68
"NOW Foods, C-500 With Rose Hips, 250 Tablets","4.8/5 - 6,850 Reviews","6,850",SG$19.16
