name,stars,rating_no,price
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 1,000 mg, 60 Veggie Capsules","4.8/5 - 263,259 Reviews","263,259","SG$2.69,SG$7.59,65% Off"
"California Gold Nutrition, MATCHA ROAD, Matcha + Vitamin C - Dragon Fruit, 10 Count",4.3/5 - 884 Reviews,884,"SG$8.91,SG$19.38,54% Off"
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 1,000 mg, 240 Veggie Capsules","4.8/5 - 263,259 Reviews","263,259",SG$22.67
"ChildLife Essentials, Essentials, Liquid Vitamin C, Natural Orange, 4 fl oz (118.5 ml)","4.9/5 - 37,282 Reviews","37,282",SG$11.72
"California Gold Nutrition, Immune 4, Immune System Support, 60 Veggie Capsules","4.7/5 - 152,451 Reviews","152,451",SG$10.73
"NutriBiotic, Immunity, Sodium Ascorbate, Crystalline Powder, 8 oz (227 g)","4.9/5 - 62,401 Reviews","62,401",SG$16.55
"NOW Foods, C-1000, 250 Tablets","4.8/5 - 23,477 Reviews","23,477",SG$30.39
"Dr. Mercola, Liposomal Vitamin C, 500 mg, 180 Capsules","4.7/5 - 15,047 Reviews","15,047",SG$69.77
"NOW Foods, C-1000, 100 Tablets","4.8/5 - 23,477 Reviews","23,477",SG$14.09
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 500 mg, 240 Veggie Capsules","4.8/5 - 24,450 Reviews","24,450",SG$18.33
"Solaray, Liposomal Vitamin C, 500 mg, 100 VegCaps","4.7/5 - 3,689 Reviews","3,689",SG$29.52
"NaturesPlus, Source of Life, Animal Parade, Vitamin C,  Orange Juice, 90 Animal-Shaped Tablets","4.9/5 - 16,167 Reviews","16,167",SG$14.11
"Lake Avenue Nutrition, Vitamin C, Quali-C, 1,000 mg, 60 Veggie Capsules","4.7/5 - 18,117 Reviews","18,117",SG$10.02
"California Gold Nutrition, Buffered Gold C, GOLD Standard Sodium Ascorbate (Vitamin C), 750 mg, 240 Veggie Capsules","4.9/5 - 35,010 Reviews","35,010",SG$26.32
"Natural Factors, Vitamin C, Time Release, 1,000 mg, 180 Tablets","4.7/5 - 10,301 Reviews","10,301",SG$20.36
"Codeage, Vitamins, Liposomal Vitamin C+, Vitamin C, Quercetin, Rosehips, Zinc, 180 Capsules","4.8/5 - 2,558 Reviews","2,558",SG$47.02
"Life Extension, Glutathione, Cysteine & C, 100 Capsules","4.5/5 - 3,129 Reviews","3,129",SG$24.00
"Doctor's Best, Pure Vitamin C Powder with Q-C, 8.8 oz (250 g)","4.6/5 - 4,467 Reviews","4,467",SG$28.83
"Garden of Life, Vitamin Code, RAW Vitamin C, 120 Vegan Capsules","4.8/5 - 5,668 Reviews","5,668",SG$44.14
"Natural Factors, Big Friends, Chewable Vitamin C, Tangy Orange, 250 mg, 90 Chewable Tablets","4.8/5 - 7,238 Reviews","7,238",SG$13.46
"NaturesPlus, Animal Parade, Vitamin C Children's Chewable Supplement, Orange Juice, Sugar Free, 90 Animal-Shaped Tablets","4.9/5 - 13,182 Reviews","13,182",SG$17.21
"21st Century, Vitamin C, 500 mg, 250 Tablets","4.8/5 - 22,211 Reviews","22,211",SG$11.95
"California Gold Nutrition, Buffered Gold C, Non-Acidic Vitamin C Powder, Sodium Ascorbate, 8.40 oz (238 g)","4.8/5 - 14,686 Reviews","14,686",SG$19.61
"NOW Foods, C-500 With Rose Hips, 250 Tablets","4.8/5 - 6,624 Reviews","6,624",SG$19.05
"California Gold Nutrition, Liposomal Vitamin C, 250 mg, 60 Veggie Capsules","4.7/5 - 1,502 Reviews","1,502",SG$24.83
"21st Century, C-1000, Prolonged Release, 110 Tablets","4.8/5 - 2,700 Reviews","2,700",SG$13.29
"NOW Foods, C-1000 Zinc Immune , 180 Veg Capsules","4.8/5 - 3,039 Reviews","3,039",SG$27.79
"NOW Foods, Vitamin C Crystals, 8 oz (227 g)","4.6/5 - 12,103 Reviews","12,103",SG$15.28
"NOW Foods, C-1000, 500 Veg Capsules","4.8/5 - 14,561 Reviews","14,561",SG$58.20
"California Gold Nutrition, Liposomal Vitamin C, 1,000 mg, 30 Packets, 0.2 fl oz (6 ml) Each","4.4/5 - 2,574 Reviews","2,574",SG$66.88
"Lipo Naturals, Liposomal Vitamin C from Sunflowers, 15 oz (443 ml)","4.5/5 - 2,592 Reviews","2,592",SG$42.99
"Solgar, Ester-C Plus Vitamin C, 1,000 mg, 180 Tablets","4.8/5 - 7,987 Reviews","7,987",SG$45.10
"Life Extension, Vitamin C and Bio-Quercetin Phytosome, 250 Vegetarian Tablets","4.8/5 - 5,056 Reviews","5,056",SG$32.48
"NutriBiotic, Immunity, Sodium Ascorbate, 250 Vegan Capsules","4.9/5 - 12,292 Reviews","12,292",SG$36.35
"Natural Factors, Vitamin C, Plus Bioflavonoids & Rosehips, 1,000 mg, 90 Tablets","4.8/5 - 7,853 Reviews","7,853",SG$11.45
"21st Century, Vitamin C with Rose Hips, 1,000 mg, 110 Tablets","4.8/5 - 3,531 Reviews","3,531",SG$13.30
"Solaray, Timed Release Vitamin C with Rose Hips & Acerola, 1,000 mg, 250 VegCaps","4.7/5 - 6,990 Reviews","6,990",SG$33.45
"Doctor's Best, Vitamin C with Q-C, 1,000 mg, 120 Veggie Caps","4.7/5 - 5,754 Reviews","5,754",SG$27.51
"YumEarth, Organic Vitamin C Drops, Antioxidant Fruit, 3.3 oz (93.6 g)","4.8/5 - 6,690 Reviews","6,690",SG$5.55
"NaturesPlus, Super C Complex, 180 Capsules","4.7/5 - 2,463 Reviews","2,463",SG$43.29
"MegaFood, Complex C, 90 Tablets","4.7/5 - 4,575 Reviews","4,575",SG$49.42
"Advanced Orthomolecular Research AOR, BenaGene, 30 Capsules",4.7/5 - 217 Reviews,217,SG$59.10
"California Gold Nutrition, Liposomal Liquid Vitamin C, Unflavored, 1,000 mg, 30 Sachets","4.4/5 - 1,193 Reviews","1,193",SG$53.19
"NOW Foods, Vitamin C Crystals, 3 lbs (1361 g)","4.6/5 - 12,103 Reviews","12,103",SG$73.95
"NOW Foods, Sodium Ascorbate Powder, 8 oz (227 g)","4.9/5 - 6,198 Reviews","6,198",SG$17.20
"YumEarth, Organic Vitamin C Drops, Citrus Grove, 3.3 oz (93.5 g)","4.8/5 - 11,496 Reviews","11,496",SG$5.51
"MegaFood, Complex C, 60 Tablets","4.7/5 - 4,575 Reviews","4,575",SG$39.50
"Solgar, Ester-C Plus, Vitamin C, 500 mg, 250 Vegetable Capsules","4.9/5 - 14,619 Reviews","14,619",SG$48.55
